n_dados,n_tiradas_por_dado,mean,std,var
1,50,3.5,1.40356688476182,1.97
1,100,3.27,1.6544183267843717,2.7371000000000003
1,200,3.39,1.6786601800245338,2.8179000000000003
1,500,3.462,1.7264286837283491,2.980556
1,750,3.556,1.7201348784325023,2.9588639999999997
1,1000,3.488,1.6863736240821605,2.8438559999999997
1,1250,3.4232,1.7081281450757726,2.91770176
1,5000,3.529,1.7149807579095457,2.9411590000000003
1,7500,3.482,1.7116296328353282,2.929676
1,10000,3.5267,1.7067768190363966,2.91308711
1,50000,3.51352,1.7117994069399602,2.9302572095999997
1,100000,3.49513,1.7101451058609032,2.9245962831
1,500000,3.499186,1.7078873901413993,2.916879337404
1,1000000,3.502084,1.7077580791622682,2.916437656944
1,5000000,3.5000308,1.7080738857120201,2.9175163990513595
2,50,7.16,1.9530488985173924,3.8144
2,100,6.9,2.364318083507378,5.59
2,200,7.32,2.2710350063352176,5.157600000000001
2,500,7.168,2.4182175253686338,5.847776
2,750,7.104,2.33292034440384,5.442517333333333
2,1000,6.951,2.381721856136858,5.672599
2,1250,6.9256,2.4262037507183933,5.886464640000001
2,5000,7.047,2.3913993811155843,5.718791
2,7500,6.995866666666666,2.410888407943337,5.812382915555556
2,10000,7.0152,2.397283662815062,5.746968960000001
2,50000,6.99166,2.4158870926431972,5.836510444400001
2,100000,6.98585,2.4172856218287486,5.843269777500001
2,500000,7.00254,2.4159779693531975,5.836949548399999
2,1000000,7.000894,2.414157244415533,5.828155200764
2,5000000,7.0007258,2.415643531900839,5.83533367321436
3,50,10.3,3.034798181098704,9.21
3,100,10.73,2.834977954058902,8.037099999999999
3,200,10.33,3.0807628925316535,9.4911
3,500,10.494,2.93699914879116,8.625963999999998
3,750,10.596,2.9558051356610098,8.736784
3,1000,10.415,2.9514022091202685,8.710775000000002
3,1250,10.476,2.9833913588398016,8.900623999999999
3,5000,10.4364,2.9342043282634562,8.60955504
3,7500,10.4844,2.9526298966627476,8.718023306666668
3,10000,10.512,2.946193476335185,8.680056000000002
3,50000,10.47496,2.963776813189549,8.783972998400001
3,100000,10.49673,2.9635096266251613,8.782389307100003
3,500000,10.500932,2.959932960621912,8.761203131375998
3,1000000,10.497238,2.956911289057553,8.743324371356
3,5000000,10.5002962,2.9575090045958534,8.746859512265557
4,50,13.62,2.9112883745860696,8.4756
4,100,13.81,3.315705053227745,10.993900000000002
4,200,13.57,3.6048717036810065,12.995100000000003
4,500,13.922,3.4023397831492375,11.575916
4,750,13.942666666666666,3.330772616409325,11.094046222222222
4,1000,14.002,3.4281184343601665,11.751995999999998
4,1250,14.0968,3.4233652682703903,11.71942976
4,5000,14.0138,3.43947809412998,11.83000956
4,7500,13.958666666666666,3.4404105698141447,11.836424888888889
4,10000,14.0368,3.3785567569599895,11.414645760000003
4,50000,13.99588,3.4126035552932312,11.645863025600002
4,100000,14.00218,3.4149136515584106,11.6616352476
4,500000,14.000374,3.4192270851939623,11.691113860124
4,1000000,14.001907,3.4164594777855912,11.672195363350994
4,5000000,13.9994362,3.4156254891497624,11.666497482129554
5,50,17.46,3.2693118541980666,10.688400000000001
5,100,17.22,3.6320242289940743,13.1916
5,200,17.71,3.8491427617068195,14.815900000000001
5,500,17.4,3.64581952378337,13.292
5,750,17.550666666666668,3.8653287340434868,14.940766222222223
5,1000,17.472,3.83239037677531,14.687216000000001
5,1250,17.4488,3.9099077431571194,15.28737856
5,5000,17.481,3.8233021068181365,14.617639000000002
5,7500,17.444933333333335,3.796494127773968,14.413367662222221
5,10000,17.5108,3.8165800607350033,14.566283360000002
5,50000,17.47888,3.817642459110073,14.574393945600004
5,100000,17.49271,3.817300991001365,14.571786855900001
5,500000,17.511364,3.8215733487012917,14.604422859504004
5,1000000,17.501937,3.8189522447958155,14.584396248030998
5,5000000,17.5004914,3.82007195724453,14.592949758526052
6,50,22.16,3.6734724716540343,13.4944
6,100,20.66,4.030434219783273,16.2444
6,200,20.995,4.29359697689478,18.434974999999998
6,500,20.9,4.1883170844624455,17.542
6,750,21.077333333333332,4.136909420757911,17.114019555555554
6,1000,20.897,4.1701787731463025,17.390391
6,1250,20.9792,4.207750867149812,17.705167359999997
6,5000,20.9836,4.141754584714068,17.154131040000003
6,7500,20.993333333333332,4.166431993391414,17.359155555555553
6,10000,21.0392,4.246394159754838,18.03186336
6,50000,20.99296,4.171214504002402,17.3990304384
6,100000,21.03097,4.17651419955685,17.4432708591
6,500000,21.000602,4.179706405669661,17.469945637596
6,1000000,21.000077,4.1833707693761735,17.500590994070997
6,5000000,20.9980652,4.18248938510894,17.493217456548958
7,50,24.16,4.981405424174988,24.814399999999996
7,100,25.21,4.877079043854016,23.785899999999998
7,200,24.81,4.602597092946546,21.183899999999998
7,500,24.404,4.548052770142404,20.684784
7,750,24.281333333333333,4.516287364147188,20.396851555555557
7,1000,24.283,4.5282348658169225,20.504911
7,1250,24.4368,4.705869288452454,22.14520576
7,5000,24.4738,4.5294275090788245,20.515713560000002
7,7500,24.4948,4.522459466558729,20.452639626666663
7,10000,24.4502,4.489267196325031,20.15351996
7,50000,24.47976,4.520153796321536,20.431790342399996
7,100000,24.50517,4.527707286375744,20.5001332711
7,500000,24.49165,4.520911664421237,20.438642277499998
7,1000000,24.501894,4.519464394456937,20.425558412764005
7,5000000,24.4989748,4.518830705942077,20.419830948964965
8,50,28.84,4.989428825025967,24.894399999999997
8,100,27.56,5.008632547911656,25.086400000000005
8,200,28.17,5.23937973428153,27.451099999999997
8,500,28.3,4.954391990951059,24.546
8,750,28.441333333333333,4.629027063601546,21.427891555555554
8,1000,27.947,4.835513519782569,23.382191000000002
8,1250,28.0184,4.931577986811118,24.32046144
8,5000,28.101,4.893301441767102,23.944398999999997
8,7500,28.036,4.821953684279157,23.251237333333336
8,10000,27.9595,4.794523933614265,22.987459750000003
8,50000,28.00682,4.825214346285561,23.282693487599996
8,100000,28.00102,4.814131173908746,23.175858959600003
8,500000,28.00326,4.835531550140067,23.382365372400002
8,1000000,27.998349,4.834157659220372,23.36908027419899
8,5000000,27.996603,4.830484060670421,23.333576260391002
9,50,32.26,5.992695553755422,35.912400000000005
9,100,31.99,5.099990196069008,26.0099
9,200,31.23,5.526038363963826,30.5371
9,500,31.796,5.400961395899808,29.170384
9,750,31.717333333333332,5.082004154093365,25.826766222222222
9,1000,31.693,4.994472044170435,24.944751000000004
9,1250,31.3096,4.969280414707949,24.693747840000004
9,5000,31.508,5.122493142991995,26.239936
9,7500,31.436533333333333,5.17680454677937,26.799305315555554
9,10000,31.509,5.0984231876139905,25.993919
9,50000,31.47132,5.092926217568835,25.937897457600002
9,100000,31.47698,5.1022867500366935,26.033330079600002
9,500000,31.50343,5.121870774931753,26.233560235099997
9,1000000,31.497943,5.124808266535541,26.26365976875102
9,5000000,31.4989166,5.124013976000108,26.255519226244434
10,50,33.88,4.5547338012226355,20.7456
10,100,35.13,5.478421305449226,30.013099999999998
10,200,34.5,5.489080068645383,30.13
10,500,34.936,5.517599478033904,30.443904000000003
10,750,34.834666666666664,5.520084379387289,30.471331555555555
10,1000,34.92,5.501599767340405,30.2676
10,1250,35.1032,5.4558363025296135,29.76614976
10,5000,34.9496,5.391350465328701,29.066659840000003
10,7500,34.86586666666667,5.438566745833767,29.57800824888889
10,10000,34.9896,5.387252717294781,29.02249184
10,50000,34.96,5.390951678507238,29.062360000000005
10,100000,34.99476,5.410130547630066,29.2695125424
10,500000,34.98857,5.398510105121598,29.1439113551
10,1000000,34.997856,5.402297418993515,29.184817403264
10,5000000,35.0012212,5.399935343008336,29.15930170867055
11,50,37.62,5.792719568561903,33.555600000000005
11,100,38.86,5.255511392814214,27.6204
11,200,38.67,5.511905296719093,30.3811
11,500,37.832,5.643028973875643,31.843776
11,750,38.628,5.877098150164472,34.54028266666666
11,1000,38.435,5.908957183801555,34.915775000000004
11,1250,38.4056,5.672203155741163,32.17388864
11,5000,38.5192,5.551182879351031,30.81563136
11,7500,38.53893333333333,5.624963780229068,31.640217528888886
11,10000,38.3857,5.6869618875107655,32.34153551000001
11,50000,38.54128,5.659725785018211,32.032495961600006
11,100000,38.50638,5.663364662071479,32.073699295599994
11,500000,38.50111,5.663150251220604,32.07127076789999
11,1000000,38.508104,5.665367448381793,32.09638832518402
11,5000000,38.496963,5.660927095152439,32.046095576631025
12,50,43.14,6.324586943034304,40.0004
12,100,42.19,6.859584535523999,47.053900000000006
12,200,41.945,5.847390443608157,34.191975
12,500,42.128,5.667417048356332,32.119616
12,750,41.665333333333336,5.909878584953238,34.92666488888889
12,1000,41.953,5.897693701778687,34.782790999999996
12,1250,42.2736,5.816557662397924,33.83234304
12,5000,41.9616,5.907835935433549,34.90252544
12,7500,42.02773333333333,6.01074849988659,36.12909752888889
12,10000,42.0402,5.87982856552808,34.572383959999996
12,50000,42.00868,5.901932281685381,34.83280465760001
12,100000,41.98576,5.930085768553436,35.1659172224
12,500000,41.988204,5.925743232235431,35.114432854384006
12,1000000,41.995359,5.911772954124592,34.949059461119
12,5000000,42.0034026,5.915851910106712,34.99730382231323
13,50,44.02,6.297586839417143,39.6596
13,100,44.79,5.662676045828509,32.0659
13,200,46.47,5.681469880233459,32.2791
13,500,45.416,6.182794190331746,38.22694399999999
13,750,45.257333333333335,6.032725715259692,36.39377955555556
13,1000,45.47,6.037143364207943,36.4471
13,1250,45.5224,6.004523148427359,36.05429824
13,5000,45.668,6.164914922365109,38.006176
13,7500,45.47293333333333,6.219512365308249,38.68233406222222
13,10000,45.5297,6.231782883733997,38.83511791000001
13,50000,45.48076,6.186144988795526,38.268389822399996
13,100000,45.51837,6.2001921375954145,38.442382543099995
13,500000,45.503676,6.155241870716699,37.887002487024006
13,1000000,45.504116,6.149034319187364,37.81062305854401
13,5000000,45.5019126,6.16060869898107,37.95309954196123
14,50,48.36,5.588416591486357,31.230399999999996
14,100,48.92,5.395701993253519,29.113600000000005
14,200,49.035,6.460942268740682,41.743775
14,500,48.838,6.442651317586572,41.50775599999999
14,750,48.512,6.2179730888235065,38.663189333333335
14,1000,49.176,6.583086206332103,43.337024
14,1250,48.8112,6.474036960042783,41.91315456
14,5000,49.0868,6.286021457169869,39.51406576
14,7500,48.996,6.337169504860457,40.15971733333333
14,10000,49.0714,6.377656469268317,40.67450204000001
14,50000,49.00174,6.364490315209852,40.5067369724
14,100000,48.98084,6.383717795642287,40.75185289440002
14,500000,49.003698,6.380244534874507,40.70752032479601
14,1000000,49.000826,6.3819493352520436,40.729277317724005
14,5000000,49.0021108,6.388436048402093,40.81211514452334
15,50,52.48,5.33381664476761,28.4496
15,100,52.71,6.705661786878308,44.96589999999998
15,200,52.555,6.677347901674736,44.586975
15,500,52.362,6.894559884430623,47.534956
15,750,52.5,6.603382971376616,43.60466666666667
15,1000,52.493,6.581029630688499,43.309951
15,1250,52.3648,6.821592259875988,46.534120959999996
15,5000,52.3958,6.6770609073154334,44.58314236
15,7500,52.675333333333334,6.564311963607119,43.090191555555556
15,10000,52.4888,6.647516420438538,44.189474559999994
15,50000,52.48774,6.635586612530952,44.0310096924
15,100000,52.50601,6.640598156785275,44.097543879899995
15,500000,52.493796,6.619765970967855,43.82130151038399
15,1000000,52.494608,6.6200147225165615,43.824594926336026
15,5000000,52.5008802,6.61556830705027,43.765744025247976
